STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,AGE,,SEX,,SOCIO_ECON_STATUS,,DEATH_CAUSE,,CALC_METHODOLOGY,,GESTATION_THRESHOLD,,HEALTH_STATUS,,DISEASE,,CANCER_SITE,,TIME_PERIOD,,OBS_VALUE,,DECIMALS,,OBS_STATUS,,OBS_STATUS2,,OBS_STATUS3,,UNIT_MULT,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,NLD,,A,,LFEXPDFM,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2015,,3.3,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,NLD,,A,,LFEXPDFM,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2014,,3.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,NLD,,A,,LFEXPDFM,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2013,,3.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,NLD,,A,,LFEXPDFM,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2012,,3.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,NLD,,A,,LFEXPDFM,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2023,,2.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,KOR,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2013,,81.4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,KOR,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2012,,80.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,PER,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2019,,76.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,PER,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2018,,76,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,PER,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2017,,75.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,PER,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2016,,75.8,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,PER,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2015,,75.6,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,PER,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2014,,75.3,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,PER,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2013,,75,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,PER,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2012,,74.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,PER,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2022,,73.4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,PER,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2021,,72.4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,ISL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2020,,-3,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,ISL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2019,,-3,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,ISL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2018,,-3.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,ISL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2017,,-3.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,ISL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2016,,-3.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,ISL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2022,,-2.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,ISL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2021,,-2.8,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,ISL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2015,,-2.6,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,ISL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2014,,-3.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,ISL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2013,,-3.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,ISL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2012,,-2.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,ISL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2023,,-3.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,COL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2020,,-6.4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,COL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2019,,-6.4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,COL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2022,,-6.3,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,COL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2021,,-6.3,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,COL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2015,,-6.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,COL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2014,,-6.8,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,COL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2013,,-6.8,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,COL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2012,,-6.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,COL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2018,,-6.4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,COL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2017,,-6.6,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,COL,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2016,,-6.6,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2012,,-10.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2017,,-8.8,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2016,,-8.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2015,,-9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2014,,-9.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2013,,-8.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2020,,-8.6,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2023,,-9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2022,,-8.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2021,,-8.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2017,,78.4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2016,,78,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,CAN,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2018,,-4.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,CAN,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2017,,-4.3,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,CAN,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2015,,-4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,CAN,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2014,,-4.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,CAN,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2016,,-4.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,CAN,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2021,,-4.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,CAN,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2013,,-4.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,CAN,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2012,,-4.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,CAN,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2020,,-4.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,CAN,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2019,,-4.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,LVA,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2014,,74.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,LVA,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2013,,74.3,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,LVA,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2012,,74.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,LVA,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2023,,75.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,LVA,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2022,,74.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,LVA,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2021,,73.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,LVA,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2020,,75.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,LVA,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2019,,75.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,LVA,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2018,,75.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,LVA,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2017,,74.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,LVA,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2016,,74.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,LVA,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2015,,74.8,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,CAN,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2013,,81.8,,,,,,,,,,,
